JHU,GCP
Afghanistan_,Afghanistan_
Albania_,Albania_
Algeria_,Algeria_
Andorra_,Andorra_
Angola_,Angola_
Antigua and Barbuda_,Antigua and Barbuda_
Argentina_,Argentina_
Armenia_,Armenia_
Australia_Australian Capital Territory,Australia_Australian Capital Territory
Australia_New South Wales,Australia_New South Wales
Australia_Northern Territory,Australia_Northern Territory
Australia_Queensland,Australia_Queensland
Australia_South Australia,Australia_South Australia
Australia_Tasmania,Australia_Tasmania
Australia_Victoria,Australia_Victoria
Australia_Western Australia,Australia_Western Australia
Austria_,Austria_
Azerbaijan_,Azerbaijan_
Bahamas_,Bahamas_
Bahrain_,Bahrain_
Bangladesh_,Bangladesh_
Barbados_,Barbados_
Belarus_,Belarus_
Belgium_Antwerp,Belgium_Antwerp
Belgium_Brussels,Belgium_Brussels
Belgium_East Flanders,Belgium_East Flanders
Belgium_Flemish Brabant,Belgium_Flemish Brabant
Belgium_Hainaut,Belgium_Hainaut
Belgium_Liege,Belgium_Liège
Belgium_Limburg,Belgium_Limburg
Belgium_Luxembourg,Belgium_Luxembourg
Belgium_Namur,Belgium_Namur
Belgium_Unknown,
Belgium_Walloon Brabant,Belgium_Walloon Brabant
Belgium_West Flanders,Belgium_West Flanders
Belize_,Belize_
Benin_,Benin_
Bhutan_,Bhutan_
Bolivia_,Bolivia_
Bosnia and Herzegovina_,Bosnia and Herzegovina_
Botswana_,Botswana_
Brazil_Acre,Brazil_Acre
Brazil_Alagoas,Brazil_Alagoas
Brazil_Amapa,Brazil_Amapá
Brazil_Amazonas,Brazil_Amazonas
Brazil_Bahia,Brazil_Bahia
Brazil_Ceara,Brazil_Ceará
Brazil_Distrito Federal,Brazil_Distrito Federal
Brazil_Espirito Santo,Brazil_Espirito Santo
Brazil_Goias,Brazil_Goiás
Brazil_Maranhao,Brazil_Maranhão
Brazil_Mato Grosso,Brazil_Mato Grosso
Brazil_Mato Grosso do Sul,Brazil_Mato Grosso do Sul
Brazil_Minas Gerais,Brazil_Minas Gerais
Brazil_Para,Brazil_Pará
Brazil_Paraiba,Brazil_Paraíba
Brazil_Parana,Brazil_Paraná
Brazil_Pernambuco,Brazil_Pernambuco
Brazil_Piaui,Brazil_Piauí
Brazil_Rio Grande do Norte,Brazil_Rio Grande do Norte
Brazil_Rio Grande do Sul,Brazil_Rio Grande do Sul
Brazil_Rio de Janeiro,Brazil_Rio de Janeiro
Brazil_Rondonia,Brazil_Rondônia
Brazil_Roraima,Brazil_Roraima
Brazil_Santa Catarina,Brazil_Santa Catarina
Brazil_Sao Paulo,Brazil_São Paulo
Brazil_Sergipe,Brazil_Sergipe
Brazil_Tocantins,Brazil_Tocantins
Brunei_,Brunei_
Bulgaria_,Bulgaria_
Burkina Faso_,Burkina Faso_
Burma_,
Burundi_,Burundi_
Cabo Verde_,
Cambodia_,Cambodia_
Cameroon_,Cameroon_
Canada_Alberta,Canada_Alberta
Canada_British Columbia,Canada_British Columbia
Canada_Diamond Princess,
Canada_Grand Princess,
Canada_Manitoba,Canada_Manitoba
Canada_New Brunswick,Canada_New Brunswick
Canada_Newfoundland and Labrador,Canada_Newfoundland and Labrador
Canada_Northwest Territories,Canada_Northwest Territories
Canada_Nova Scotia,Canada_Nova Scotia
Canada_Nunavut,Canada_Nunavut
Canada_Ontario,Canada_Ontario
Canada_Prince Edward Island,Canada_Prince Edward Island
